"clust","lat","long","mobile","elect","bank","wealth","adm0","adm1","label","rural","weight"
338,0.676497,34.188347,0.583333333333333,0.25,NA,0.52191,"Uganda","eastern","Uganda DHS 2011",0,17.37072
339,0.709386,33.886174,0.375,0,NA,-0.553782916666667,"Uganda","eastern","Uganda DHS 2011",1,31.217616
340,0.900754,33.940027,0.555555555555556,0.111111111111111,NA,-0.135248888888889,"Uganda","eastern","Uganda DHS 2011",1,38.653038
342,0.648191,34.234604,0.44,0,NA,-0.539934,"Uganda","eastern","Uganda DHS 2011",1,40.628825
345,0.629127,33.994059,0.416666666666667,0,NA,-0.67981,"Uganda","eastern","Uganda DHS 2011",1,35.99208
346,0.812973,34.077778,0.375,0,NA,-0.551629583333333,"Uganda","eastern","Uganda DHS 2011",1,37.995288
348,2.009065,33.84554,0.318181818181818,0,NA,-0.855336363636364,"Uganda","eastern","Uganda DHS 2011",1,23.429604
349,2.13719,33.641947,0.272727272727273,0,NA,-0.889600909090909,"Uganda","eastern","Uganda DHS 2011",1,33.210892
351,1.261163,34.019736,0.4,0,NA,-0.773284,"Uganda","eastern","Uganda DHS 2011",1,41.741075
353,1.251357,34.17136,0.291666666666667,0,NA,-0.79398,"Uganda","eastern","Uganda DHS 2011",1,40.299192
354,1.914751,33.230352,0.48,0,NA,-0.4965368,"Uganda","eastern","Uganda DHS 2011",1,37.46115
356,1.715493,33.340483,0.363636363636364,0,NA,-0.827214545454545,"Uganda","eastern","Uganda DHS 2011",1,45.387914
358,2.004497,33.748627,0.608695652173913,0,NA,-0.812270434782609,"Uganda","eastern","Uganda DHS 2011",1,25.005899
361,2.034626,33.931845,0.32,0,NA,-0.8767328,"Uganda","eastern","Uganda DHS 2011",1,12.058475
362,1.489708,33.942327,0.681818181818182,0.181818181818182,NA,0.384353636363636,"Uganda","eastern","Uganda DHS 2011",0,35.203168
364,1.277344,33.872068,0.409090909090909,0,NA,-0.539374090909091,"Uganda","eastern","Uganda DHS 2011",1,37.655156
366,0,0,0.2,0,NA,-0.7647568,"Uganda","eastern","Uganda DHS 2011",1,52.269875
367,1.576364,33.814327,0.44,0,NA,-0.7211944,"Uganda","eastern","Uganda DHS 2011",1,25.947125
369,1.882583,33.193438,0.681818181818182,0,NA,0.0408086363636364,"Uganda","eastern","Uganda DHS 2011",0,14.812204
372,1.445355,33.471721,0.217391304347826,0,NA,-0.769472608695652,"Uganda","eastern","Uganda DHS 2011",1,25.746246
374,1.846912,33.603467,0.5,0,NA,-0.573622727272727,"Uganda","eastern","Uganda DHS 2011",1,20.250098
376,1.82813,33.495888,0.44,0,NA,-0.8481704,"Uganda","eastern","Uganda DHS 2011",1,42.86935
378,2.161698,32.843172,0.48,0,NA,-0.455326,"Uganda","north","Uganda DHS 2011",1,31.551625
380,2.230225,32.626881,0.166666666666667,0,NA,-0.567670416666667,"Uganda","north","Uganda DHS 2011",1,27.419472
382,2.129171,32.786376,0.5,0,NA,-0.550047083333333,"Uganda","north","Uganda DHS 2011",1,28.118856
384,2.089716,32.632011,0.28,0,NA,-0.5218716,"Uganda","north","Uganda DHS 2011",1,25.4478
386,1.793301,32.376165,0.64,0,NA,-0.3032952,"Uganda","north","Uganda DHS 2011",1,14.87155
387,2.023405,32.493305,0.666666666666667,0,NA,-0.579199166666667,"Uganda","north","Uganda DHS 2011",1,19.551456
389,1.8399,32.351018,0.36,0,NA,-0.6352248,"Uganda","north","Uganda DHS 2011",1,29.736275
390,2.207274,32.314369,0.44,0,NA,-0.6902204,"Uganda","north","Uganda DHS 2011",1,35.100425
392,2.154008,32.517867,0.44,0,NA,-0.7097968,"Uganda","north","Uganda DHS 2011",1,32.71385
393,2.313664,32.538077,0.6,0,NA,-0.5942176,"Uganda","north","Uganda DHS 2011",1,16.6637
395,2.494387,32.512654,0.36,0,NA,-0.5901312,"Uganda","north","Uganda DHS 2011",1,31.541
397,2.773405,32.266599,0.6,0,NA,-0.5285024,"Uganda","north","Uganda DHS 2011",0,3.5308
398,2.768075,32.288053,0.833333333333333,0.166666666666667,NA,0.106195,"Uganda","north","Uganda DHS 2011",0,0.843492
